word,meaning_zh
unpleasant,令人不快的
adverse,不利的
hostile,敌对的
indignant,愤怒的
radical,根本的
mad,发狂的
crazy,疯狂的
wicked,邪恶的
vicious,恶毒的
vulgar,粗俗的
ego,自我
selfish,自私的
nasty,污秽的
rash,疹子
volatile,挥发性的
weird,怪异的
excessive,过多的
anxiety,焦虑
restless,得不到休息的
uneasy,心神不安的
fear,害怕
timid,胆怯的
fuss,忙乱
insult,侮辱
unkind,不和善的
envy,妒忌
jealous,妒忌的
doubt,怀疑
suspicion,猜疑
skeptical,怀疑的
sceptical,怀疑的
unsatisfactory,不令人满意的
unstable,不稳定的
unsuitable,不合适的
unwilling,不情愿的
reluctant,不情愿的
hesitate,犹豫
confuse,使混乱
guilty,内疚的
embarrass,使窘迫
regret,遗憾
repent,后悔
ashamed,惭愧的
sigh,叹气
weep,哭泣
tolerance,公差
ignorant,无知的
endure,忍受
sly,狡猾的
cunning,狡猾的
arbitrary,任意的
ridiculous,可笑的
stupid,愚蠢的
awkward,笨拙的
clumsy,笨拙的
careless,粗心的
oblivious,遗忘的
naughty,顽皮的
greedy,贪婪的
obtrusive,突出的
slothful,怠惰的
sluggish,懒惰的
impulse,冲动
rigid,僵硬的
stubborn,顽固的
stereotype,陈规
daily,每日的
monthly,每月的
quarterly,季度的
annual,每年的
yearly,每年的
anniversary,周年纪念
era,时代
present,现在的
contemporary,当代的
medieval,中世纪的
century,世纪
millennium,一千年
million,百万
billion,十亿
dozen,一打
dawn,黎明
midday,中午
midnight,午夜
overnight,通宵的
night,夜晚
modern,现代的
recent,近来的
up-to-date,直到现在的
first,第一
secondly,其次
finally,最后
finish,完成
immediately,立即
instant,瞬间
moment,片刻
minute,分
prior,优先的
former,从前的
preceding,先前的
precedent,先例
foremost,最重要的
opening,开端
initially,最初
intermediate,中间的
midst,中间
meantime,其间
meanwhile,其间
simultaneous,同时的
ongoing,进行中的
everlasting,永久的
permanent,永久的
punctual,准时的
duration,持续时间
consecutive,连续的
periodically,定期地
imminent,即将来临的
incidentally,顺便提一句
apologise,道歉
potent,强有力的；有权势的
sincere,真诚的；挚诚的
